TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8479.995082,42.188165,44.790226,44.688997,15.891908,23.391980,96.859005,95.048485,45.689717,40.670398,41.991883,44.746676,44.643683,0.000006,427440.10,12.36,2461663081366968,59723090383,1109653932283017,33915363073,fb127f44b550375cece073ad17f67fbb,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3060.864059,39.627985,43.395369,43.663319,13.687134,20.414970,92.664307,90.543357,41.214949,38.910413,39.358515,43.357438,43.629981,0.000018,336350.80,9.73,1947606521806539,50261865305,871950713500001,26810938289,6cf9f2e36512418e3401a774c6e15e54,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1117.426573,36.623158,41.725273,42.396262,11.037965,16.797105,83.711692,81.490493,36.239605,36.718822,36.323050,41.690649,42.363998,0.002361,229815.23,6.30,1715394474833640,43901765190,641165775282248,17604818669,1d0a18f3ffc0bd755029b3c13c3d2b34,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,399.790978,33.607171,39.964839,40.852075,8.526545,13.157459,67.923874,65.795488,31.597088,34.361399,33.372380,39.937697,40.828261,0.012984,136368.68,5.51,1058616213393518,35934588147,464170829351656,20450005188,a6d220e4df8a8c7b56c1f2af6dc6e440,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,143.446707,30.813948,38.228423,39.367812,6.606772,9.978089,45.618105,44.025640,27.664095,32.086923,30.666156,38.208566,39.350376,0.047248,66974.67,3.55,536619985130080,26996750376,187024751356397,9902306426,42b4b38908378e503e443a3e56f0e119,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,54.012449,28.249351,36.649075,37.884459,5.320125,7.312530,22.595334,21.815837,24.454682,29.901469,28.174553,36.634701,37.876529,0.085443,43201.23,4.16,280994293432176,24732812936,114740420980247,11695454409,2888cb01281d04cb6d1be72173f49cfe,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,23854.214708,41.743526,44.956218,46.724444,19.417970,27.337310,99.976141,99.789374,48.018833,42.272817,41.623992,44.911128,46.684173,0.126874,504831.16,18.45,2863678728755247,81624429428,1309857277624696,50079695002,2c6db5e36cd3e11b2fd97d93bc5a196c,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11093.318989,37.851867,43.186032,44.659304,16.102029,23.268700,97.480552,95.638590,41.505145,39.609687,37.732204,43.158733,44.630043,0.155550,700481.89,15.09,3886821668784382,70054123520,1814987122175259,41244283976,0b49361b36a25f9954efefef1601d0f3,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4920.204718,33.670635,41.298955,42.324595,12.360996,18.710196,87.806649,85.727111,34.627384,36.501872,33.548885,41.277012,42.297262,0.173851,571809.45,8.98,4127884199398800,54660592513,1596943786787161,25104841477,f0f237af0e2d4bd8b94fbb23133e0fc1,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2014.008146,29.716812,39.099838,39.904291,8.878765,14.242514,70.113132,68.155868,28.573074,33.220260,29.601546,39.073327,39.871765,0.210526,338878.71,6.58,2457730249717569,42664677147,946456259490801,18372315080,4c3ec53d2d1b12fdd0ca7b4fa344ad8a,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,710.269423,26.209396,36.686217,37.460728,6.028861,10.201332,45.886642,44.444775,23.616683,30.027136,26.105206,36.658112,37.441737,0.193339,222355.73,6.47,1305892713612765,33340482503,578713444242915,18359301368,bbd1f811ad45317a71e40944798f46c3,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,209.288558,23.382298,34.277391,34.581554,4.109556,7.014548,22.164477,21.370309,19.908524,27.250105,23.316612,34.264880,34.575949,0.146124,105364.67,5.60,636923682663877,30962348806,275088643352932,15734193708,3dfb19144edc6a175a39d243d1222dde,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,57117.996923,38.794439,40.270842,41.137092,13.447206,21.330504,99.976408,99.966517,43.961875,37.382839,38.592501,40.171059,41.052043,0.000385,1064954.73,32.38,6441855254040218,152947546344,2976581902812905,94197889469,147b935043850dec5549eb15df288e0d,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,23287.907692,35.112462,37.959446,38.661834,11.233032,18.536662,96.942731,94.925876,38.524652,34.901509,34.987825,37.904174,38.600893,0.000632,1363407.40,0.00,9500569975632924,3526153,3807433238035558,2407427,608556fb7152ba7b21b0eb8f2a510f57,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,9468.723077,31.420558,35.811400,36.278969,8.901792,15.309126,84.114356,81.838501,32.461224,32.419035,31.313492,35.768451,36.227767,0.000818,1733242.78,0.00,9605882818397920,3616120,4497244463705301,3552532,73e7f0e743db151ec56dbbf62d690165,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,185,3663.406154,27.971490,33.861515,34.083566,6.627040,11.855509,62.235196,60.251869,26.986585,29.966382,27.878178,33.826329,34.042405,0.002449,747092.96,9.71,5329646106604861,65753784359,2086477069158553,27140017592,aae916ea9c359bf32eb175bdc87f26c3,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,210,1229.563077,24.862703,32.102405,32.192538,4.736768,8.570291,36.209791,34.947744,22.400711,27.546597,24.790667,32.076537,32.163164,0.014288,417578.75,9.70,2468679243334591,53774470294,1086230487216770,27600196970,266d168a613fafda99c899041bd3c07c,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,235,340.166154,22.259548,30.596078,30.596271,3.475905,5.901515,14.115283,13.662757,18.906822,25.292252,22.211665,30.584248,30.581347,0.062870,126289.63,4.79,1005339255317209,37447549679,352720161234011,13355388518,a099e4cbe5c10dc692736a7ee668de6c,
