TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5590225,48.600737,49.500725,50.883898,24.995518,34.440522,96.988825,96.328703,54.215622,47.759820,48.600737,49.500725,50.883898,0.000001,28101.75,1.94,198240671659226,10060355665,78483507000566,5402836431,75c9f3dbfdb45e8ae1dfd1d9448d1875,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3690846,42.675071,45.906325,48.340230,18.958471,28.423596,96.228866,95.227134,49.596428,43.319692,42.675071,45.906325,48.340230,0.000006,34071.44,1.78,242767087589002,9660626381,95147193826826,4987332851,a23ffec03a0eaa92e62cab183bef72c6,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1979392,36.665051,42.762950,45.924244,13.016765,22.104939,94.223746,92.737601,43.048745,38.723182,36.665051,42.762950,45.924244,0.000307,47891.98,1.54,369214917557405,8148884413,164303073227909,5399227291,f822f80cde28bdcaadaf7ac3f9158afb,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,861533,32.052600,40.124609,43.635902,9.520101,17.491391,88.066247,86.148769,36.197874,34.905028,32.052600,40.124609,43.635902,0.001613,104943.73,1.44,600262825770678,6315645927,274697635028840,4029284363,bf2379a4a03629e003167d04a6ee56d5,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,394183,28.657639,37.541305,41.393713,7.507283,14.081355,73.277370,71.126358,29.979081,31.881765,28.657639,37.541305,41.393713,0.008297,58686.65,0.86,406673131684809,5259459558,163908128809221,2456438852,f94242fa2115b1a5f4b2d9e7cef289dd,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,172766,25.293854,35.034193,39.273406,5.479370,10.497827,49.218717,47.338656,24.234355,28.806463,25.293854,35.034193,39.273406,0.017989,43488.52,1.04,243052860934556,4610622736,113573076949878,2960218254,ab537d79194f1ef18ddee3ac4d7a5c75,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,3830752,48.722374,50.599357,50.965624,22.275520,31.408735,96.590759,95.818997,52.646807,48.069829,48.722374,50.599357,50.965624,0.000002,50325.62,1.80,284930996066401,8023623836,131369906129122,4762375646,c3acdeb79d9ef7ada130fcecbe2141ff,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2137580,42.900486,48.393899,48.742096,16.645788,25.420587,95.275296,94.186668,47.819624,44.184953,42.900486,48.393899,48.742096,0.001254,60679.59,1.64,341933828985220,6917816981,158384932034920,4386591016,b32408aeff43f3196fcd617a955659a9,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,883376,37.746861,46.190141,46.743276,11.866938,19.664120,92.205001,90.551489,41.391763,40.460994,37.746861,46.190141,46.743276,0.252000,48768.42,0.91,352153548920426,4857306980,136208788121910,2497148061,29d292c317391134893afa12cead812a,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,319228,34.216208,44.194156,44.815777,8.764166,15.209807,84.008831,81.913072,34.983945,37.606908,34.216208,44.194156,44.815777,1.147144,62036.57,0.75,432069358135750,4504293631,173248908758456,2102503114,beec76c7e9746fa3b2afffdd62d348d4,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,160,134211,31.727296,42.491401,42.844744,7.010062,12.167167,67.165566,64.861188,30.040618,35.359470,31.727296,42.491401,42.844744,1.776246,30442.20,0.68,209650643975246,3545141219,85015781585221,1917303132,10b0972427f2f8d051f9455211df1734,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,185,59093,29.154208,40.636482,40.398142,5.653918,9.600043,42.523741,40.994660,25.984089,32.894919,29.154208,40.636482,40.398142,1.885778,13545.91,0.61,93269311934799,3812135732,37827655372799,1716621318,372b16a03494214d009d7d6bb514e272,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,60,1030073,51.271610,55.502551,56.093985,22.597818,29.325651,96.434377,95.352342,50.750894,54.094888,51.271610,55.502551,56.093985,0.015119,39681.81,0.83,266233255633587,4451197872,110837658895036,2307211658,ba182337dce0bdf73c7af8de032dbf7b,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,85,521403,47.566842,53.191578,53.875816,19.316735,24.752508,95.164563,93.768313,46.381345,50.026808,47.566842,53.191578,53.875816,0.039341,40169.27,0.91,211104744969166,3815338789,103526411367009,2439625932,97354df3114b515ffc7adec956b7e678,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,110,248977,43.796011,50.882172,51.835623,16.192845,20.323536,91.760730,89.880451,41.404312,46.516216,43.796011,50.882172,51.835623,0.146893,25449.50,0.73,135763907873495,3048718438,65620856649959,1971755463,d951dd6d21c23c2530ecd7709557bf92,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,135,104222,40.101860,48.361592,49.522618,13.414719,16.230058,82.431147,80.388710,36.619478,43.121741,40.101860,48.361592,49.522618,0.523275,18286.71,0.69,126076369350237,3992014962,61778787687818,2503871199,26479e9e302a5eb59bcf40f903a4b543,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,160,41441,37.024753,45.536979,46.724875,11.625242,13.279090,65.184039,63.210886,33.023341,40.168183,37.024753,45.536979,46.724875,0.816188,10254.26,0.60,66817032036758,3662590099,28638643019906,1653096382,cae9256504b0e5548fe316e447f94a79,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,185,17920,34.378520,42.395553,43.514658,10.512661,11.151439,47.049437,45.193188,30.154006,37.437725,34.378520,42.395553,43.514658,1.237059,6592.60,0.62,33386238005228,2943422528,17202063545751,1883859394,2fdf31ae30d3338b5977fde60f34639b,
