TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,170400.863137,44.306073,49.737276,49.790530,15.562237,22.751907,99.860239,99.820283,46.501359,44.574455,44.306045,49.737222,49.790504,0.011340,770612.08,16.51,5256369899131746,85833058294,2152125635578424,46193020585,5508565cd4c6a4b5982d84f58e174160,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,61079.704296,41.943344,47.386410,47.161709,13.759445,19.750879,99.774555,98.818127,41.894633,42.420775,41.943318,47.386293,47.161683,1.106898,709264.86,18.21,3828069402669460,86771548726,1835946524980209,50302650512,2591ffa1566d2b7133a3057d32b39ebc,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,30220.211788,40.020836,45.010521,44.853069,12.849223,17.874362,93.899351,91.595124,38.461988,40.605946,40.020817,45.010260,44.853017,1.295247,389924.15,12.68,2645975456174694,80537712725,1088977799840662,35443430965,25f87bf20cb88dd440094397d0d1b933,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,14909.106893,37.406686,42.327215,42.329753,11.704693,15.548122,80.876100,78.097660,34.534325,38.356565,37.406645,42.326629,42.329314,1.274740,203943.70,12.01,1393457923114855,74952134060,569599235878008,33554366342,73b95aad4e9067944b91a689214441d0,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7005.058941,34.243074,39.436574,39.577366,10.380487,12.906962,61.789902,58.762358,30.491029,35.700806,34.242911,39.435500,39.576041,1.150251,122466.59,12.40,652364004096750,62794689215,317509581852024,35009516987,3c0dbb222a257d4d310496d25f63fdf4,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3117.970030,30.923903,36.562919,36.617078,9.116780,10.334748,40.221822,37.590599,26.728067,32.943051,30.923727,36.561154,36.615544,0.783571,44066.29,8.44,287379260534326,57240018566,123069382080257,23598426760,0585e52eca6bc8291475f4614e536625,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,67785.718282,43.668644,49.519302,52.895587,14.067710,21.370684,99.061793,97.708889,45.297441,44.400594,43.668303,49.519057,52.895245,0.020335,521744.29,9.61,3567173180204930,46768222802,1457149543975383,26880519854,5194f7cfe70f0c651dff6763ce5ecc87,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,21424.607393,42.701544,48.482147,51.665214,13.434505,19.814273,94.350901,92.596164,42.782217,43.452806,42.699199,48.481777,51.664772,0.248035,242917.72,9.42,1591373698272772,55842095372,678382641112021,26327005374,6e7bfe67c315466f912458b99b6e1c24,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,10514.717283,41.740904,47.279136,49.898790,13.065098,18.504344,85.913135,83.734617,40.559467,42.425103,41.734972,47.278723,49.898152,0.314289,135872.16,8.77,893719519500186,53491618948,379468008947161,24482372685,ad29a05d1fa0a5b9c445e2a99eccf104,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,5367.320679,40.200591,45.410639,47.475769,12.630769,16.686284,71.170202,68.706104,37.774159,40.830838,40.191422,45.409819,47.475108,0.300896,76619.00,11.37,395947072459976,60808163257,196469765583494,32148527264,3a64a5e9212276b3f2e239676038e39e,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,2746.229770,37.950777,42.890373,44.543822,12.168116,14.494638,50.389968,48.107398,34.672063,38.543748,37.941238,42.888986,44.542037,0.243079,24022.97,8.09,160896046991599,58427865022,67088045282120,22611547825,d0cc096f5f80c8065bc3cacbab242294,
