TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,18686.861446,42.397510,48.727441,48.730439,13.974238,20.338303,99.974870,99.913693,43.028553,43.266628,42.346394,48.702186,48.704581,0.971280,,,,,,,b3885b5835f18ebffec6f8dd743a9ccf,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,6628.153385,41.573640,47.551075,47.475924,13.574550,19.569106,99.634024,97.779357,41.500669,42.402142,41.558775,47.539015,47.462571,1.189391,,,,,,,8c7008b88a3c01a2d14b3cdeb3094e7a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,2748.024898,40.302340,45.978915,45.809845,13.047371,18.450339,95.187997,92.780491,39.168184,41.218028,40.287914,45.966135,45.797331,1.236379,,,,,,,e9274cd55f1c3e7f4424f89c6f1903a0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1320.628910,38.277972,43.975278,43.716367,12.215143,16.686019,85.938395,83.201898,35.926258,39.555254,38.257199,43.962788,43.705768,1.267856,,,,,,,5bd10a50580ad07fdffaa1f423042ddf,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,637.083532,35.576577,41.544790,41.349178,11.117021,14.425912,71.203989,68.152619,32.267836,37.402984,35.550552,41.531979,41.333414,1.316835,,,,,,,604f38a52a96afeef95502ee64cb91da,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,294.473526,32.413764,38.811171,38.787917,9.877806,11.913835,51.599668,48.622341,28.518344,34.766047,32.386579,38.798631,38.777026,1.261357,,,,,,,c9efa4ebb7219c4602b83471ca1ab72a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,9341.741336,41.590308,47.090137,47.209210,13.642546,19.872219,99.931031,98.330970,42.122709,42.443006,41.575707,47.079892,47.196121,1.200399,,,,,,,becae9bb9d00e55437174b2e0efc3c2e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,3852.238838,40.714848,46.070899,46.037807,13.243411,19.007457,97.259978,94.899351,40.300995,41.598555,40.704254,46.061539,46.026128,1.219304,,,,,,,b3179dad027031e8d337f0cb1fd17a81,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,1798.415738,39.138229,44.556857,44.406905,12.577035,17.551139,90.497679,87.772740,37.440748,40.286654,39.121908,44.546081,44.395215,1.308065,,,,,,,a7fc59015d4cb5f34c7dbb58ae2aaa25,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,864.936909,36.799376,42.603401,42.398907,11.615520,15.512747,78.389720,75.366248,33.940680,38.459714,36.776460,42.590713,42.385605,1.369467,,,,,,,c2b06f69d81606bd733d074e7079b6ed,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,405.637439,33.888879,40.258021,40.105475,10.441556,13.093098,60.935023,57.791112,30.246266,36.207783,33.862720,40.247393,40.092168,1.364545,,,,,,,7bb1899f32a3a6f856ea6c2b90335c85,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,186.404365,30.745335,37.842956,37.734113,9.279805,10.676485,40.786172,37.940785,26.709334,33.660561,30.718939,37.833094,37.727386,1.176494,,,,,,,cc7f5990b2f4df8ee240848287f1a60d,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6257.653731,40.679597,45.927886,45.803715,13.276800,19.396816,98.016006,95.674099,41.137839,41.747761,40.671463,45.921650,45.793772,1.265417,,,,,,,34d55a272c30cb95faef679ef6da67dd,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,2812.490894,39.736563,44.979650,44.746220,12.841675,18.400969,93.827577,91.243475,39.061877,40.861397,39.726121,44.972331,44.734832,1.333160,,,,,,,285957add29a1cb3eecabe7018048ea5,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1332.546838,38.025930,43.530107,43.201861,12.102839,16.735614,85.198040,82.324891,35.963171,39.467961,38.008284,43.520608,43.190165,1.446855,,,,,,,41798942d2dab79f93b696d3e493b465,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,185,630.204257,35.575219,41.659688,41.344276,11.097736,14.555976,70.931571,67.858711,32.415873,37.599426,35.551536,41.646703,41.333291,1.518552,,,,,,,c092fda72dcffcb1542c1c229c166166,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,210,291.854607,32.667639,39.374641,39.208601,9.960043,12.164622,52.661622,49.563554,28.850040,35.244649,32.642314,39.364200,39.195880,1.501015,,,,,,,415f94cae57a7a292a05657a710449b9,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,235,128.994698,29.527357,37.080757,36.929765,8.858161,9.809746,32.194393,29.652338,25.424350,32.799803,29.502571,37.073937,36.923534,1.378575,,,,,,,631e0093f423779081332781c52d00df,
