TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,135,104222,40.101860,48.361592,49.522618,13.414719,16.230058,82.431147,80.388710,36.619478,43.121741,40.101860,48.361592,49.522618,0.523275,23537.39,0.80,126072000643727,3991953912,60821337405890,2241965667,26479e9e302a5eb59bcf40f903a4b543,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,160,41441,37.024753,45.536979,46.724875,11.625242,13.279090,65.184039,63.210886,33.023341,40.168183,37.024753,45.536979,46.724875,0.816188,12755.39,0.71,66846137934041,3726450985,33123769516917,2015261548,cae9256504b0e5548fe316e447f94a79,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,185,17920,34.378520,42.395553,43.514658,10.512661,11.151439,47.049437,45.193188,30.154006,37.437725,34.378520,42.395553,43.514658,1.237059,4951.32,0.45,33351256295270,2890966589,13826475767132,1291122101,2fdf31ae30d3338b5977fde60f34639b,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,60,2745093,48.849972,52.766607,53.544679,21.211282,29.419622,97.247852,96.629908,50.136647,50.049389,48.849972,52.766607,53.544679,1.066352,35512.12,1.28,259431739508188,6422465802,120473819375498,4435027546,d43842b192bbca667e747adfdd2db65b,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,85,1435187,43.731285,50.602873,51.307530,16.544420,24.496057,96.853322,95.902983,46.441949,46.069081,43.731285,50.602873,51.307530,7.469448,24011.16,0.95,172060110643938,4802433757,67051755595914,2687663204,879a24312bb1edc55de875289f6826c2,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,110,743697,39.841014,48.420222,49.236183,14.502993,22.147308,95.419864,94.010947,43.575920,43.220986,39.841014,48.420222,49.236183,11.306905,17836.56,0.94,130408615857895,5013631991,49825943135727,2622744671,00917bb187e4fc64bf671a96cce4eb6f,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,135,370679,36.128744,46.242359,47.204813,13.435305,20.494584,91.366197,89.303788,40.146439,40.651562,36.128744,46.242359,47.204813,11.072531,38725.06,0.98,222569850310732,4438314527,101119080970631,2628356382,9c60a9eb4866db5cb18bf97b15e6868b,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,160,170309,32.260136,44.001085,44.850171,12.112182,18.174706,82.172118,79.246178,35.160058,37.896918,32.260136,44.001085,44.850171,10.603724,29159.56,0.78,166582054756932,3346509437,76290556214299,1953516111,75c517abd179f2dcbcbafd0685f1e677,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,185,72192,28.509074,41.366070,42.367929,10.359787,15.016252,65.992350,62.550922,29.353225,34.875886,28.509074,41.366070,42.367929,8.353604,20013.02,0.68,113879925173616,3175547103,52265317356425,1917089518,c52cf7c0505a911af1270716bcd3135b,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,60,6064443,48.365826,50.761242,50.648523,28.412097,37.776046,97.070904,96.357209,55.127567,47.040300,48.365826,50.761242,50.648523,0.002241,18733.93,2.45,110112991124581,10648786811,49529919009863,6437953131,92ee98885259a31a6e85170476766471,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,85,4214638,42.574358,47.921251,47.745937,22.531611,31.749247,96.389448,95.266719,50.784926,42.909685,42.574358,47.921251,47.745937,0.004070,22567.85,2.17,144387525067545,10233647670,64289955371589,6253114414,799d11800359c9fe91f3a75320b4823f,
