TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,23269.800000,35.111658,37.958378,38.658830,11.233282,18.538073,96.949700,94.929713,38.522620,34.901120,34.987015,37.903280,38.597779,0.000666,1371361.61,19.54,9492976114887900,115341741416,3829725136448022,54521369167,2cfd5899831def9d3b64db842eabc14e,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,9468.723077,31.420558,35.811400,36.278969,8.901792,15.309126,84.114356,81.838501,32.461224,32.419035,31.313492,35.768451,36.227767,0.000818,1365179.15,13.40,9602713746188428,87132593749,3812419782652356,37473136700,14f9596fd2f68b7c3e6bedf0de0400b7,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,185,3663.406154,27.971490,33.861515,34.083566,6.627040,11.855509,62.235196,60.251869,26.986585,29.966382,27.878178,33.826329,34.042405,0.002449,735467.55,10.07,5329446189444457,65735818836,2054059282562610,28248982081,d21ec192ae143e88b3e230a8766e8493,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,210,1229.563077,24.862703,32.102405,32.192538,4.736768,8.570291,36.209791,34.947744,22.400711,27.546597,24.790667,32.076537,32.163164,0.014288,333378.99,7.67,2464972656739843,53427561362,931039947020956,21395791048,0dcba99aed5454659cd149e2faf4e8da,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,235,340.166154,22.259548,30.596078,30.596271,3.475905,5.901515,14.115283,13.662757,18.906822,25.292252,22.211665,30.584248,30.581347,0.062870,126269.77,5.07,1005311010877245,37444485516,352629980722470,14213415426,c0ec01e91e69d1d9eb4f985e1d53c0ce,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,110,12819.441482,38.969720,41.881330,46.534242,9.916251,16.934673,90.199464,88.894018,40.642205,38.889995,38.785398,41.789736,46.487851,0.829947,906383.26,14.29,6584060371039712,80966687120,2531310110625191,39958729201,1dc7860cac578f8772eba41b0bdfa34c,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,135,1153.071544,37.634701,40.369419,45.947496,8.718662,14.788657,84.262037,82.489602,37.637758,37.667673,37.608196,40.345482,45.940742,3.064342,406694.09,8.57,2388981839402798,48433337617,1052583484809867,24254429335,09e360d7c41a8544aede7e0279befafb,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,160,129.715823,37.259343,40.080280,45.617172,8.549315,14.313488,78.588171,76.482092,36.728117,37.367461,37.257145,40.077335,45.615731,3.350111,139644.77,4.92,1087128138079622,35663466199,389994287700578,13710107719,0762113678c417a09696b05ae3fa3e8e,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,185,46.862061,36.667183,39.892169,45.105646,8.418832,13.703781,68.678268,66.279861,35.449792,36.999985,36.662961,39.890009,45.103793,3.311490,57217.63,3.64,461728042512258,25713608501,159796488054411,10175864284,3bff3a2e02cb794a8f7e983901935bb8,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,210,23.714132,35.551123,39.493565,44.120383,8.224520,12.691001,53.851699,51.233655,33.474844,36.327568,35.534579,39.488460,44.116410,2.614959,29394.92,4.74,176114803826489,25454666904,78040858506879,13369048615,b8f7eac88ebefc5f1abebb4cce85de94,
